occurrence_id,source_path,source_line,label,record_kind,baseline_presence,original_target,capability,disposition,native_owner,invariant,upstream_evidence,regression_requirement,behavioral_risk,accounting_impact,status,evidence_status
LP001,scripts/patch-prime-agent.mjs,122,OpenAI GPT-6 Astra model,patch_definition,current D only,node_modules/@earendil-works/pi-ai/dist/models.generated.js,P01,ALREADY_PRESENT_PROVEN,packages/ai/src/models.generated.ts; packages/ai/scripts/generate-models.ts,Astra catalogs and effort values,"Actual H 915c78f: direct catalog at 8566; Codex at 8937 have matching route limits, costs and thinkingLevelMap. 47f94a0e3 adds Codex record. This establishes source catalog parity only, not live route support.",AI catalog/effort fixture; F12 pinned catalog build; X11 route combination tests before promotion,Catalog presence is not route capability evidence,Preserve route-specific limits; prices require versioned per-request normalization,AUDITED_SOURCE_NOT_IMPLEMENTED,SOURCE-CONFIRMED
LP002,scripts/patch-prime-agent.mjs,128,GPT-6 Astra,embedded_model_metadata,current D only,node_modules/@earendil-works/pi-ai/dist/models.generated.js,P01,ALREADY_PRESENT_PROVEN,packages/ai/src/models.generated.ts; packages/ai/scripts/generate-models.ts,Astra catalogs and effort values,"Actual H 915c78f: direct catalog at 8566; Codex at 8937 have matching route limits, costs and thinkingLevelMap. 47f94a0e3 adds Codex record. This establishes source catalog parity only, not live route support.",AI catalog/effort fixture; F12 pinned catalog build; X11 route combination tests before promotion,Catalog presence is not route capability evidence,Preserve route-specific limits; prices require versioned per-request normalization,AUDITED_SOURCE_NOT_IMPLEMENTED,SOURCE-CONFIRMED
LP003,scripts/patch-prime-agent.mjs,147,OpenAI Codex GPT-6 Astra model,patch_definition,current D only,node_modules/@earendil-works/pi-ai/dist/models.generated.js,P01,ALREADY_PRESENT_PROVEN,packages/ai/src/models.generated.ts; packages/ai/scripts/generate-models.ts,Astra catalogs and effort values,"Actual H 915c78f: direct catalog at 8566; Codex at 8937 have matching route limits, costs and thinkingLevelMap. 47f94a0e3 adds Codex record. This establishes source catalog parity only, not live route support.",AI catalog/effort fixture; F12 pinned catalog build; X11 route combination tests before promotion,Catalog presence is not route capability evidence,Preserve route-specific limits; prices require versioned per-request normalization,AUDITED_SOURCE_NOT_IMPLEMENTED,SOURCE-CONFIRMED
LP004,scripts/patch-prime-agent.mjs,153,GPT-6 Astra,embedded_model_metadata,current D only,node_modules/@earendil-works/pi-ai/dist/models.generated.js,P01,ALREADY_PRESENT_PROVEN,packages/ai/src/models.generated.ts; packages/ai/scripts/generate-models.ts,Astra catalogs and effort values,"Actual H 915c78f: direct catalog at 8566; Codex at 8937 have matching route limits, costs and thinkingLevelMap. 47f94a0e3 adds Codex record. This establishes source catalog parity only, not live route support.",AI catalog/effort fixture; F12 pinned catalog build; X11 route combination tests before promotion,Catalog presence is not route capability evidence,Preserve route-specific limits; prices require versioned per-request normalization,AUDITED_SOURCE_NOT_IMPLEMENTED,SOURCE-CONFIRMED
LP005,scripts/patch-prime-agent.mjs,175,GPT-6 Astra fast mode eligibility,patch_definition,current D only,node_modules/@earendil-works/pi-ai/dist/models.js,P02,PORT_NATIVE,packages/ai/src/models.ts; AI route capability resolver,Astra fast-mode eligibility,H supportsFastMode at 38 still lists GPT-5.4/5.5/5.6 only; D adds exact Astra ID.,AI supported and unsupported route fixture; X11,"Provider-visible option; gate on route evidence, not a model substring",Tier changes affect tariff; record effective tier,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP006,scripts/patch-prime-agent.mjs,183,GPT-6 Astra Codex catalog client version,patch_definition,current D only,dist/core/model-registry.js,P03,ALREADY_PRESENT_PROVEN,packages/coding-agent/src/core/model-registry.ts,Codex discovery client version,"H OPENAI_CODEX_CLIENT_VERSION at 382 is 0.153.4 after 47f94a0e3; D requested 0.153.0. Do not downgrade. Discovery support is source-confirmed, not a live auth claim.",Model discovery fixture using pinned catalog response; F15,Impersonated client/auth contract must be independently approved,No direct inference; discovery configuration belongs in route identity,AUDITED_SOURCE_NOT_IMPLEMENTED,SOURCE-CONFIRMED
LP007,scripts/patch-prime-agent.mjs,193,Agents View resume launch environment import,patch_definition,S and current D,dist/modes/agents-view/agents-view-mode.js,P04,PORT_NATIVE,packages/coding-agent/src/modes/agents-view/agents-view-mode.ts; modes/daemon/daemon-supervisor.ts,Daemon resume and early hello,H still gates hello via this.ready.then around 1446; legacy resume adds fresh launchEnv. Port symptoms against product-fenced W1 daemon identity.,daemon-launch.test.ts; daemon-protocol.test.ts; delayed-adoption/fresh-resume fixture; F07/F35,Stale supervisor replacement and cross-product ownership,Detach/reconnect must not duplicate requests or lose settlement,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP008,scripts/patch-prime-agent.mjs,200,Agents View resume fresh worker launch environment,patch_definition,S and current D,dist/modes/agents-view/agents-view-mode.js,P04,PORT_NATIVE,packages/coding-agent/src/modes/agents-view/agents-view-mode.ts; modes/daemon/daemon-supervisor.ts,Daemon resume and early hello,H still gates hello via this.ready.then around 1446; legacy resume adds fresh launchEnv. Port symptoms against product-fenced W1 daemon identity.,daemon-launch.test.ts; daemon-protocol.test.ts; delayed-adoption/fresh-resume fixture; F07/F35,Stale supervisor replacement and cross-product ownership,Detach/reconnect must not duplicate requests or lose settlement,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP009,scripts/patch-prime-agent.mjs,214,daemon hello before worker adoption completes,patch_definition,S and current D,dist/modes/daemon/daemon-supervisor.js,P04,PORT_NATIVE,packages/coding-agent/src/modes/agents-view/agents-view-mode.ts; modes/daemon/daemon-supervisor.ts,Daemon resume and early hello,H still gates hello via this.ready.then around 1446; legacy resume adds fresh launchEnv. Port symptoms against product-fenced W1 daemon identity.,daemon-launch.test.ts; daemon-protocol.test.ts; delayed-adoption/fresh-resume fixture; F07/F35,Stale supervisor replacement and cross-product ownership,Detach/reconnect must not duplicate requests or lose settlement,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP010,scripts/patch-prime-agent.mjs,255,session worker V8 heap sized for large persistent sessions,patch_definition,S and current D,dist/modes/daemon/daemon-supervisor.js,P06,REPLACE_DESIGN,"packages/coding-agent/src/modes/daemon/{daemon-supervisor,daemon-mode}.ts; core/execution resource owner; core/session-manager.ts",Worker heap and passivation workarounds,"D injects 16384 MiB heap, sets top-level eviction candidates=[] and coalesces child passivation. H still has ordinary candidate selection. Preserve symptom fixtures; use bounded paging/safe passivation, not permanent heap inflation or disabled eviction.",daemon-supervisor-eviction.test.ts; daemon-supervisor-lazy-subagents.test.ts; X05/R04/F27,Whole-process memory and live-handle loss; temporary override only explicit and measured,Track process-tree residency and passivation time,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP011,scripts/patch-prime-agent.mjs,266,session worker heap option is not duplicated,patch_definition,S and current D,dist/modes/daemon/daemon-supervisor.js,P06,REPLACE_DESIGN,"packages/coding-agent/src/modes/daemon/{daemon-supervisor,daemon-mode}.ts; core/execution resource owner; core/session-manager.ts",Worker heap and passivation workarounds,"D injects 16384 MiB heap, sets top-level eviction candidates=[] and coalesces child passivation. H still has ordinary candidate selection. Preserve symptom fixtures; use bounded paging/safe passivation, not permanent heap inflation or disabled eviction.",daemon-supervisor-eviction.test.ts; daemon-supervisor-lazy-subagents.test.ts; X05/R04/F27,Whole-process memory and live-handle loss; temporary override only explicit and measured,Track process-tree residency and passivation time,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP012,scripts/patch-prime-agent.mjs,283,session worker heap option tokenization is literal-safe,patch_definition,S and current D,dist/modes/daemon/daemon-supervisor.js,P06,REPLACE_DESIGN,"packages/coding-agent/src/modes/daemon/{daemon-supervisor,daemon-mode}.ts; core/execution resource owner; core/session-manager.ts",Worker heap and passivation workarounds,"D injects 16384 MiB heap, sets top-level eviction candidates=[] and coalesces child passivation. H still has ordinary candidate selection. Preserve symptom fixtures; use bounded paging/safe passivation, not permanent heap inflation or disabled eviction.",daemon-supervisor-eviction.test.ts; daemon-supervisor-lazy-subagents.test.ts; X05/R04/F27,Whole-process memory and live-handle loss; temporary override only explicit and measured,Track process-tree residency and passivation time,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP013,scripts/patch-prime-agent.mjs,288,large worker attach uses long-running request timeout,patch_definition,S and current D,dist/modes/daemon/daemon-supervisor.js,P05,PORT_NATIVE,packages/coding-agent/src/modes/daemon/daemon-supervisor.ts; modes/agent-connection/daemon-agent-connection.ts,Snapshot transfer ownership and timeouts,"Legacy adds long-running attach timeout, invalidatedSnapshotLoads tombstones, buffer duplicate checks, progress-refreshed assembly timeout. H lacks tombstone/refresh helper; long-running constants alone are not equivalent call-site behavior.",agent-connection-daemon.test.ts; daemon-agent-connection-reconnect-park.test.ts; slow-progress and invalidation-race fixtures; F35,"Deduplication races, stalled or unbounded transfers; retain cancellation bound",UI transfer lifetime cannot own provider receipts,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP014,scripts/patch-prime-agent.mjs,295,in-flight snapshot invalidation keeps dedupe ownership,patch_definition,S and current D,dist/modes/daemon/daemon-supervisor.js,P05,PORT_NATIVE,packages/coding-agent/src/modes/daemon/daemon-supervisor.ts; modes/agent-connection/daemon-agent-connection.ts,Snapshot transfer ownership and timeouts,"Legacy adds long-running attach timeout, invalidatedSnapshotLoads tombstones, buffer duplicate checks, progress-refreshed assembly timeout. H lacks tombstone/refresh helper; long-running constants alone are not equivalent call-site behavior.",agent-connection-daemon.test.ts; daemon-agent-connection-reconnect-park.test.ts; slow-progress and invalidation-race fixtures; F35,"Deduplication races, stalled or unbounded transfers; retain cancellation bound",UI transfer lifetime cannot own provider receipts,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP015,scripts/patch-prime-agent.mjs,305,snapshot invalidation marks rather than abandons active loads,patch_definition,S and current D,dist/modes/daemon/daemon-supervisor.js,P05,PORT_NATIVE,packages/coding-agent/src/modes/daemon/daemon-supervisor.ts; modes/agent-connection/daemon-agent-connection.ts,Snapshot transfer ownership and timeouts,"Legacy adds long-running attach timeout, invalidatedSnapshotLoads tombstones, buffer duplicate checks, progress-refreshed assembly timeout. H lacks tombstone/refresh helper; long-running constants alone are not equivalent call-site behavior.",agent-connection-daemon.test.ts; daemon-agent-connection-reconnect-park.test.ts; slow-progress and invalidation-race fixtures; F35,"Deduplication races, stalled or unbounded transfers; retain cancellation bound",UI transfer lifetime cannot own provider receipts,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP016,scripts/patch-prime-agent.mjs,314,completed snapshot load clears invalidation tombstone,patch_definition,S and current D,dist/modes/daemon/daemon-supervisor.js,P05,PORT_NATIVE,packages/coding-agent/src/modes/daemon/daemon-supervisor.ts; modes/agent-connection/daemon-agent-connection.ts,Snapshot transfer ownership and timeouts,"Legacy adds long-running attach timeout, invalidatedSnapshotLoads tombstones, buffer duplicate checks, progress-refreshed assembly timeout. H lacks tombstone/refresh helper; long-running constants alone are not equivalent call-site behavior.",agent-connection-daemon.test.ts; daemon-agent-connection-reconnect-park.test.ts; slow-progress and invalidation-race fixtures; F35,"Deduplication races, stalled or unbounded transfers; retain cancellation bound",UI transfer lifetime cannot own provider receipts,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP017,scripts/patch-prime-agent.mjs,328,failed snapshot load clears invalidation tombstone,patch_definition,S and current D,dist/modes/daemon/daemon-supervisor.js,P05,PORT_NATIVE,packages/coding-agent/src/modes/daemon/daemon-supervisor.ts; modes/agent-connection/daemon-agent-connection.ts,Snapshot transfer ownership and timeouts,"Legacy adds long-running attach timeout, invalidatedSnapshotLoads tombstones, buffer duplicate checks, progress-refreshed assembly timeout. H lacks tombstone/refresh helper; long-running constants alone are not equivalent call-site behavior.",agent-connection-daemon.test.ts; daemon-agent-connection-reconnect-park.test.ts; slow-progress and invalidation-race fixtures; F35,"Deduplication races, stalled or unbounded transfers; retain cancellation bound",UI transfer lifetime cannot own provider receipts,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP018,scripts/patch-prime-agent.mjs,342,duplicate snapshot chunks compare encoded buffers directly,patch_definition,S and current D,dist/modes/daemon/daemon-supervisor.js,P05,PORT_NATIVE,packages/coding-agent/src/modes/daemon/daemon-supervisor.ts; modes/agent-connection/daemon-agent-connection.ts,Snapshot transfer ownership and timeouts,"Legacy adds long-running attach timeout, invalidatedSnapshotLoads tombstones, buffer duplicate checks, progress-refreshed assembly timeout. H lacks tombstone/refresh helper; long-running constants alone are not equivalent call-site behavior.",agent-connection-daemon.test.ts; daemon-agent-connection-reconnect-park.test.ts; slow-progress and invalidation-race fixtures; F35,"Deduplication races, stalled or unbounded transfers; retain cancellation bound",UI transfer lifetime cannot own provider receipts,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
